Refran	Significado	Uso
De enamorado a loco va muy poco	En ocasiones el amor puede convertirse en una obsesión y rozar la locura.	En desuso
De herrero a herrero, no pasa dinero	Quienes son de un mismo oficio no suelen cobrarse entre sí, pues, por lo general, hay buena correspondencia entre las personas de un mismo gremio.	En desuso
De la abundancia del corazón habla la lengua	Se refiere a quien habla conforme a sus inclinaciones o afectos. La palabra, por tanto, revela sus sentimientos o intenciones.	En desuso
De la discusión nace la luz	En el intercambio de pareceres puede surgir el medio de resolver un problema. Por eso, se aconseja cambiar impresiones para llegar a acuerdos y aclarar cuestiones.	En desuso
De la mano a la boca, se pierde la sopa	Señala que la más fundada esperanza de lograr algo pronto puede quedar destruida en un instante, por lo que algo no es seguro hasta que no se tiene.	En desuso
De la puerta cerrada el diablo se vuelve	Hay que evitar las ocasiones peligrosas y no dar facilidades a quien nos puede hacer mal.	En desuso
Del árbol caído, todos hacen leña	Cuando alguien pierde su autoridad, sufre alguna contrariedad o queda sin protección, puede suceder que los demás traten de sacar provecho de esta circunstancia.	En desuso
De la risa al duelo, un pelo	Los cambios en la vida se producen de un momento a otro, pudiendo pasarse de una situación a otra menos favorable casi sin darnos cuenta.	En desuso
Del bien al mal no hay un canto de real	Alude a la inestabilidad de la fortuna que puede afectar a los bienes en sentido negativo y provocar daños cuando menos se espera.	En desuso
Del cuero salen las correas	La evidencia de que es necesario tener la materia prima para confeccionar artículos de dicho material sirve para afirmar que, si se tiene lo principal, todo está resuelto, pues resulta más fácil conseguir lo secundario o accesorio.	En desuso
Del mar, el mero; de la tierra, el cordero	Afirma que la carne de estos animales resulta más apetitosa que la de los demás.	En desuso
De lo contado come el lobo	Critica el exceso de celo. Puede atraer la malevolencia el hecho de comprobar demasiadas veces los bienes, las cosas consideradas valiosas. Denota también que suele perderse lo que más se cuida, por mucho que se haga para resguardarlo.	En desuso
De lo que no veas, ni la mitad te creas	Recomienda ser escéptico con lo que no se conoce directamente. Sin pruebas resulta difícil aceptar la existencia de algo o la veracidad de una argumentación. Por eso, se dice también el refrán Más vale ver que creer (Sbarbi,«ver»), para indicar que las mejores argumentaciones son las pruebas de lo que se afirma.	En desuso
De los amores y las cañas, las entradas	Los principios resultan más entusiastas y ardorosos, tanto en la relación amorosa como en el antiguo juego de cañas, porque las energías van menguando y puede suceder lo que anuncia el refrán: Los amores entran riendo y salen llorando (Correas1627 D124). Este refrán contiene una advertencia escéptica acerca de que el amor empieza a perder atractivo con el conocimiento y la convivencia.	En desuso
De los enemigos, los menos	Cuantos menos rivales se tenga, más fácilmente resultará vencerlos y se vivirá más seguro. Se emplea cuando se pretende deshacerse de quien causa daño o perjuicio.	En desuso
De los escarmentados nacen los avisados	Quien ha padecido algún daño, tiene miedo de que le vuelva a suceder algo parecido y huye de cualquier situación similar.	En desuso
Del que jura, teme la impostura	Previene contra quien enfatiza mucho con juramentos afirmaciones o promesas, que pueden desencadenar un ataque inesperado.	En desuso
De mal cuervo, mal huevo	Con frecuencia los hijos son comos sus padres, ya sea en las virtudes ya sea en los defectos.	En desuso
De mí te reirás, pero de mi dinero, no	Uno puede burlarse de alguien, pero no de su riqueza. Simula un comentario para sí mismo en el que da a entender que no se le engaña fácilmente en cuestiones económicas.	En desuso
De músico, poeta y loco, todos tenemos un poco	Nadie actúa siempre racionalmente, puesto que en su conducta a veces irrumpen sin control las fuerzas típicamente ilógicas del arte (música), el amor (poesía) o la locura.	En desuso
De padre santo, hijo diablo	No siempre los hijos heredan las virtudes de sus padres ni aprovechan su buena crianza, si son de mal natural.	En desuso
De padres gatos, hijos michinos	Es lógico que los hijos se parezcan a los padres.	En desuso
De paja o heno, el vientre lleno	A falta de lo que agrada o apetece, cualquier cosa puede ser buena, para saciar el hambre, como la paja o el heno, considerados alimentos vegetales para los animales de poco valor nutritivo.	En desuso
De pequeña centella grande hoguera	En ocasiones, hechos insignificantes pueden provocar efectos de gran importancia, por lo que no se debe despreciar lo pequeño, aunque parezca que tiene poca importancia.	En desuso
De potro sarnoso, caballo hermoso	Algo de fea apariencia puede llegar a hacerse bello.	En desuso
De quien mucho miente, huye la gente	El mentiroso provoca enfado y desconfianza	En desuso
De rabo de puerco, nunca buen virote	Del mismo modo que del rabo retorcido del cerdo no puede salir una saeta derecha, de personas de vil condición no cabe esperar acciones ni obras nobles.	En desuso
Desdichas y caminos hacen amigos	Los viajes con los amigos y compartir situaciones difíciles contribuyen a ejercitar la paciencia y la tolerancia mutuas. En un sentido más amplio, esta paremia alude a la convivencia, como vía para conocer mejor a las personas y para comprobar si en verdad están dispuestos a prestar ayuda.	En desuso
Desgracia compartida, menos sentida	Cuando tenemos una preocupación o una pena, podemos aliviarlas contándosela a otra persona, de quien puede venir consuelo, comprensión y, tal vez, ayuda efectiva.	En desuso
Desnudo nací, desnudo me hallo: ni pierdo ni gano	Quien no tiene ambición, se conforma con facilidad, incluso si pierde. Se emplea para expresar resignación ante el infortunio.	En desuso
Después de beber, cada uno dice su parecer	Resulta difícil guardar un secreto tras haber abusado de la bebida.	En desuso
Después de los años mil, vuelven las aguas a su carril	Al cabo de un tiempo, más o menos largo, las situaciones se enderezan, o al menos se amortigua su efecto.	En desuso
Después de pera comer, bebe vino si no quieres fenecer	Alude a la creencia popular de que el agua sienta mal si se bebe después de haber comido fruta.	En desuso
Después de vendimias, cuévanos	Alude a lo que se hace tras pasar la ocasión, cuando ya es tarde.	En desuso
De tal cabeza, tal sentencia	Las palabras de una persona descubren lo que hay en su cabeza. Se aplica en sentido irónico o burlesco cuando alguien que no destaca por su sensatez da una opinión disparatada.	En desuso
De tal cepa, tal vino	Se refiere a la relación existente entre la causa y el efecto, concretamente, la calidad del resultado.	En desuso
Detrás de la cruz está el diablo	Suele aplicarse a los hipócritas que tratan de ocultar sus vicios bajo la apariencia de virtud.	En desuso
De trigo y avena, mi casa llena	Lo necesario nunca estorba. En este caso, se manifiesta el deseo de tener, de tener en abundancia.	En desuso
De una cebolla no nace una rosa	Todo necesita una base y unas condiciones para cumplirse.	En desuso
De una nuez chica, gran árbol de noguera	Da a entender que una causa pequeña puede producir un gran efecto.	En desuso
Día de Santa Lucía, mengua la noche y crece el día	Alude al solsticio de invierno, en que las horas de luz coinciden con las horas de oscuridad y a partir de este día, empezará a amanecer antes.	En desuso
Días de mayo, días del diablo: no amanece cuando ya oscurece	Este refrán recrimina a los perezosos y a quien pone excusas por no haber hecho algo por falta de espíritu o por haber perdido el tiempo.	En desuso
Días de mucho, vísperas de nada	Previene contra los gastos sin control. Después de la abundancia no es raro que venga la necesidad.	En desuso
Dicha que tarda, con más gozo se aguarda	Parte de la alegría que se puede conseguir se experimenta la víspera, el tiempo previo en que se sueña y se desea.	En desuso
Dichoso mes, que empieza con los Santos y acaba con San Andrés	Alabanza del mes de noviembre.	En desuso
Diciendo las verdades se pierden amistades	Hablar con franqueza suele acarrear enemistades.	En desuso
Dijo el asno al mulo: 'Anda para allá, orejudo'	Alude a las personas que critican en otros los mismos defectos que ellos tienen. Se recrimina la contradicción que supone criticar a otro defectos que uno es el primero en tener.	En desuso
Dijo el cuervo a la graja: 'Quítate allá, negra'	Alude a las personas que critican en otros los mismos defectos que ellos tienen. Se recrimina la contradicción que supone criticar a otro defectos que uno es el primero en tener.	En desuso
Dijo la leche al vino: 'Seáis bienvenido, amigo'	Alude a la creencia popular de que no conviene beber agua después de haber tomado leche. Lo aconsejable es hacerlo al revés.	En desuso
Dinero en mano, todo es llano	Alude al poder del dinero, a la facilidad con que el rico consigue lo que quiere.	En desuso
Dineros son calidad	La riqueza que alguien posee contribuye a que sea bien considerado y agasajado, e incluso que supla su pobre linaje.	En desuso
Dios consiente, mas no para siempre	Se refiere a la justicia y castigo de Dios que recibe quien obra mal, confiado en su misericordia.	En desuso
Dios me dé contienda con quien me entienda	Ya que no estamos libres de luchas, se desea un rival razonable. En sentido general denota que resulta conveniente tratar con personas educadas que conozcan perfectamente el asunto en cuestión, ya que la conversación con gente necia provoca mucha pesadumbre.	En desuso
Dios, que da la llaga, da el remedio	Da a entender que debemos esperar el remedio a nuestros males de la misma mano que nos los ha enviado.	En desuso
Di tu razón y no señales autor	Recomienda no inculpar a otro ni hacer público lo que pueda perjudicar a alguien aunque apoye nuestro argumento.	En desuso
Do entra beber, sale saber	Manifiesta el daño que causa en el entendimiento el exceso de bebida alcohólica.	En desuso
Do fuerza hay, derecho se pierde	Con frecuencia las presiones de los poderosos consiguen que no se haga justicia.	En desuso
Dolencia larga y muerte al cabo	Cuando un mal se prolonga no hay buenas perspectivas. También puede aludir a que, después de la lucha con la enfermedad, era una batalla perdida de antemano.	En desuso
Dolor de cabeza quiere manjar	A veces duele la cabeza por hambre.	En desuso
Dolor de mujer muerta, dura hasta la puerta	Alude a la brevedad del dolor que sienten algunos al enviudar.	En desuso
Donde entra el sol, no entra el doctor	Alude a las excelencias del sol para la salud y a lo conveniente que resulta una vivienda soleada.	En desuso
